天次	分鐘	Phase	動作	畫面	笑🎯	哇✨	原來💡	學到📝	講師台詞（範例）	助教注意	備註
Day 1	0-2	開場	學員進場就座	展示上屆學員作品大螢幕	笑：「我準備三天的事，AI 30秒就完成了」	──	──	──	「今天你會帶走三樣東西：一套行程、一個知識庫、一張網紅圖」	確認投影/音響	破防開場白
Day 1	2-5	開場	確認WiFi、帳號登入	各桌擺放WiFi/QR Code	──	──	──	──	「請拿出你的手機，先連上現場WiFi——名稱：______ 密碼：______」	助教逐桌確認	帳號登入引導
Day 1	5-8	開場	展示報名宣傳說的「成果」	大螢幕：行程表+AI Podcast+旅遊美圖	──	哇：全場見證30秒生成	──	──	「這不是別人的作品，這是你等一下就會親手做出來的」	──	秀實例截圖
Day 1	8-10	破冰遊戲	暖場破冰	「你最近一次旅行是去哪？請用一句話形容」	笑：「我問老婆覺得哪裡好玩，她說：家裡」	──	──	──	「我先問——誰最近去過日本？去過的舉手——好，放下，現在不准去」	──	拉近學員距離
Day 1	10-13	Phase 1 介紹	說明今日工具	展示工具Logo牆：Gemini / NotebookLM / AI Studio	──	──	原來：「以前安排行程要三天：查資料→複製→整合。今天30秒」	──	「以前三天的事，今天30秒。這個效率提升，CP值爆炸」	──	秀對比截圖
Day 1	13-16	Phase 1 Live Demo	Gemini一句話生成行程	現場示範：輸入行程提示詞，計時30秒出結果	笑：「AI說颱風天最適合出遊，這是擺爛嗎？」	哇：工作人員實測計時30秒	──	──	「工作人員幫我按碼表——1、2、3……請見證奇蹟」	確保講師網路順暢	核心Wow環節
Day 1	16-20	Phase 1 解說	說明為什麼AI會這樣答	解釋Gemini Deep Research模式	──	──	原來：AI不是隨便答，它是看了上百篇資料整理的	──	「你可能覺得AI在亂寫——錯，它是看了上百篇資料後幫你整理的」	──	建立對AI的信任感
Day 1	20-30	Phase 1 實作A	學員動手做：生成自己的行程	助教巡桌，學員用自己的Gemini操作	笑：「懶人奇蹟——AI說最不會錯的伴手禮是現金，我無法反駁」	──	──	學到：行程生成提示詞（MBTI版）	「複製提示詞→貼上→修改成你自己的條件→看成品」	助教確實每人都成功	15分鐘實作
Day 1	30-45	Phase 1 實作B	MBTI旅行人格+城市推薦	各桌操作，助教巡視	──	──	──	學到：MBTI旅行人格提示詞	「我是[MBTI]，請推薦3個適合我的日本城市+1個隱藏版秘境」	協助找不到MBTI提示詞者	可加「不要太多走路」
Day 1	45-48	Phase 2 暖場	引出交通痛點	拿出一張JR Pass示意圖	笑：「我問AI 1+1=2，它回：你確定嗎？要不要再想想？」	──	──	──	「好，行程排出來了——下一關：交通費。這個Pass到底買幾日券？」	──	為JR Pass埋伏筆
Day 1	48-53	Phase 2 Live Demo	JR Pass計算器	現場輸入學員行程範例，計算單程票vs JR Pass	笑：「行程有bug：第一天delay、第二天公休、第三天颱風」	哇：工作人員再次計時，30秒算完	──	──	「工作人員再幫我按一次碼表——這道數學題，AI比我們算得快又準」	──	用學員真實行程
Day 1	53-58	Phase 2 解說	說明JR Pass適用情境	展示票價對照表	──	──	原來：「JR Pass不是每個人都划算，就像吃到飽，你只吃一碗，當然虧」	──	「不是買越久越划算，是要看你去的地方夠不夠多」	──	數字說服用
Day 1	58-78	Phase 2 實作	學員計算自己的JR Pass	各桌打開自己的行程，算Pass是否划算	──	──	原來：AI Agent是24小時免費員工——你睡覺，它在追蹤機票價格	學到：JR Pass計算提示詞	「把你的行程拿出來，我們現在算——助教確認每人都在操作」	助教協助操作困難者	每人排好Day 1-2
Day 1	78-80	中場休息	休息10分鐘	更換投影片，播放輕音樂	笑：「休息時間可以做三件事：上廁所、問助教、問Gemini——我建議第三個」	──	──	──	「休息時間——你們可以問Gemini，它不會不耐煩」	播放輕音樂	帶出台詞
Day 1	80-83	Phase 3 暖場	預告新工具	展示NotebookLM介面截圖	笑：「升級Pro後問路，它說：您已進入未知領域，建議返回」	──	──	──	「你知道你的行程PDF可以變成一個會說話的導遊嗎？」	──	2026最新版預告
Day 1	83-88	Phase 3 Live Demo	NotebookLM + Gemini合併功能	1.匯入行程PDF 2.直接問Gemini問題 3.同一畫面呈現	──	哇：同一介面使用兩個工具，Google 4月才推出	原來：NotebookLM是私人百科——助理看完所有資料，只回答你一個人的問題	──	「以前這是兩個工具，今天它是同一個了——這個升級，Google 4月才推出」	確保講師帳號狀態	2026重大更新
Day 1	88-93	Phase 3 解說	說明知識庫應用情境	展示6大來源匯入方式	──	──	原來：Google分數不等於好吃，在日本要看Tabelog	──	「Google 4.5顆星可能是假的，Tabelog 3.5分以上才是真的」	──	關鍵差異點
Day 1	93-110	Phase 3 實作	學員建立自己的旅遊知識庫	助教協助，匯入自己的行程	──	──	──	學到：NotebookLM知識庫建立 + 餐廳驗證提示詞	「把你的行程PDF匯入，然後問它：我帶小孩要注意什麼？」	每桌至少1人成功	可做為回家作業
Day 1	110-115	Phase 4 暖場	預告課程高潮	展示NotebookLM Audio Overview介面	笑：「我讓AI幫我選禮物送老婆，結果AI說：最棒的禮物是分擔家事，我想刪帳號」	──	──	──	「今天第一個『哇』——請看大螢幕，你的行程表可以變成Podcast」	要先測試好設備	進入高潮
