天次	分鐘	段落	動作	畫面	笑點/哇/原來/學到	講師台詞（範例）	助教注意	備註
Day 1	0-2	開場	學員進場就座	展示上屆學員作品大螢幕	笑🎯	「歡迎大家！今天你會帶走三樣東西：一套行程、一個知識庫、一張網紅圖」			
Day 1	2-5	開場	工作人員確認WiFi、帳號登入	各桌擺放WiFi/QR Code	笑🎯	「請拿出你的手機，先連上現場WiFi——名稱：______ 密碼：______」	助教逐桌確認連線		
Day 1	5-8	開場	展示報名宣傳說的「成果」	大螢幕：行程表+AI Podcast+旅遊美圖	哇✨	「這不是別人的作品，這是你等一下就會親做出來的」			
Day 1	8-10	Phase 1 暖場	破冰遊戲	「你最近一次旅行是去哪？請用一句話形容」	笑🎯	「我先問，誰最近去過日本？去過的舉手——好，放下，現在不准去」		拉近學員距離
Day 1	10-13	Phase 1 介紹	說明今日工具	展示工具Logo牆：Gemini / NotebookLM / AI Studio	原來💡	「以前安排行程要三天：查kkday→看部落格→複製貼上→自己整合。今天30秒」		秀對比截圖
Day 1	13-16	Phase 1 Live Demo	Gemini一句話生成行程	現場示範：輸入行程提示詞，計時30秒出結果	哇✨	「工作人員幫我按碼表計時——1、2、3……請見證奇蹟」	確保講師網路順暢	核心Wow環節
Day 1	16-20	Phase 1 解說	說明為什麼AI會這樣答	解釋Gemini Deep Research模式	原來💡	「你可能覺得AI在亂寫——錯，它是看了上百篇資料後幫你整理的」			
Day 1	20-45	Phase 1 實作	學員動手做：生成自己的行程	助教巡桌，學員用自己的Gemini操作	學到📝	「複製提示詞→貼上→修改成你自己的條件→看成品」	助教確實每人都成功	15分鐘實作
Day 1	45-48	Phase 2 暖場	引出交通痛點	拿出一張JR Pass示意圖	笑🎯	「好，行程排出來了——下一關：交通費。我知道你們在想什麼：這個Pass到底買幾日券？」		為JR Pass埋伏筆
Day 1	48-53	Phase 2 Live Demo	JR Pass計算器	現場輸入學員行程範例，計算單程票vs JR Pass	哇✨	「工作人員再幫我按一次碼表——這道數學題，AI比我們算得快又準」		用學員真實行程
Day 1	53-88	Phase 2 實作	學員計算自己的JR Pass	各桌打開自己的行程，算Pass是否划算	學到📝	「把你的行程拿出來，我們現在算——助教，請確認每人都在操作」	助教協助操作困難者	每人排好Day 1-2
Day 1	88-90	中場休息	休息10分鐘	更換投影片，播放輕音樂	笑🎯	「休息時間可以做三件事：上廁所、問助教、問Gemini——我建議第三個」		帶出台詞
Day 1	90-95	Phase 3 暖場	預告新工具	展示NotebookLM介面截圖	哇✨	「你知道你的行程PDF可以變成一個會說話的導遊嗎？」		2026最新版預告
Day 1	95-100	Phase 3 Live Demo	NotebookLM + Gemini合併功能	1.匯入行程PDF 2.直接問Gemini問題 3.同一畫面呈現	原來💡	「以前這是兩個工具，今天它是同一個了——這個升級，Google 4月才推出」		2026重大更新
Day 1	100-115	Phase 3 實作	學員建立自己的旅遊知識庫	助教協助，匯入自己的行程	學到📝	「把你的行程PDF匯入，然後問它一個問題：我帶小孩要注意什麼？」	每桌至少1人成功	可做為回家作業
Day 1	115-120	Day 1 結尾鉤子	預告下週內容	預告Phase 4視覺化環節	哇✨+笑🎯	「下週預告：你的行程表會說話、會唱歌——而且我敢說，這個環節你一定會『蛤？』」	公佈下週報名連結	
Day 2	0-3	Day 2 開場	回顧與暖身	快速複習Day 1所學	笑🎯	「上週有人做出來的行程嗎？有的舉手——助教統計一下人數」	確認回家作業完成率	
Day 2	3-8	Phase 4 暖場	預告課程高潮	展示NotebookLM Audio Overview介面	哇✨	「今天第一個『哇』——請看大螢幕，你的行程表可以變成Podcast」		要先測試好設備
Day 2	8-12	Phase 4 Live Demo A	AI Podcast生成	現場操作：行程→Audio Overview→生成5分鐘導覽	哇✨	「工作人員，請協助按鍵，我們現場計時——90秒，你沒看錯」	確保聲音設備正常	核心Wow環節
Day 2	12-17	Phase 4 實作A	學員生成自己的Podcast	學員動手操作	學到📝	「戴耳機聽聽看——那就是你的行程導覽，以後在飛機上可以先預習」	協助找不到Audio按鈕者	
Day 2	17-25	Phase 4 Live Demo B	Gemini生圖：浮世繪風格	現場上傳景點照，輸入風格提示詞	哇✨	「上傳一張東京鐵塔照片，然後說：浮世繪——你們看」	預先準備對比素材	IG素材生成
Day 2	25-40	Phase 4 實作B	學員生成自己的旅遊美圖	各桌操作，助教巡視	學到📝	「做出來的圖，等一下我們要比賽——最好看的那張，發上傳群組」		設比賽獎勵
Day 2	40-45	Phase 4 緩衝	比賽揭曉+頒獎	展示學員作品，幽默點評	笑🎯	「這張圖，我只能說——連我老婆都問我是不是外包給設計師了」		增加參與感
Day 2	45-50	Phase 5 暖場	預告實用工具	拿出日文菜單	笑🎯	「拿出你們的手機——等一下我們要用它來翻譯這個」	準備日文菜單道具	
