觀念標題	舊認知	新認知	比喻（金句）	適用Phase	備註
AI會hallucination	「AI說的都對」	「AI會一本正經地說錯話」	「AI就像很會說故事的業務，聽它講就要自己把關」	全課程	核心觀念
AI不是教練，是助教	「我要AI教我什麼都會」	「AI幫你做得更快，不是替你學習」	「用AI省下時間去玩，不是用來更懶」	Phase 1	
Google分數不等於好吃	「Google 4.5顆星一定好吃」	「在台灣適用，在日本要看Tabelog」	「日本在地人選餐廳看Tabelog，外國人菜Google」	Phase 3	關鍵差異
JR Pass不是每個人都划算	「去日本一定要買JR Pass」	「算完才知道，有時單程票更省」	「就像買吃到飽餐廳，你只吃一碗飯，當然亏」	Phase 2	數字說服
AI Agent不等於AI	「AI就是chatbot」	「AI Agent會幫你執行，不只回答」	「Chatbot是櫃台，Agent是幫你跑腿的助理」	Phase 1	
AI Agent是24小時免費員工	「AI只是工具」	「AI Agent可以自動執行程式、設定排程」	「你睡覺它在工作，你吃飯它在幫你追蹤機票價格」	Phase 2/3	
NotebookLM是私人百科	「上網查資料最準」	「讓AI根據你的資料回答，而不是上網搜」	「就像你有個助理看完所有資料後，只回答你一個人的問題」	Phase 3	
圖片生成不等於事實	「AI畫的等於真實」	「AI生成的圖可能有幻覺，要核實」	「AI生圖是藝術家，不是攝影師」	Phase 4	
開源不等於免費好用	「開源工具一定比閉源差」	「開源模型越來越強，有些已接近閉源」	「就像免費的Linux，之前也說一定比Windows差」	全課程	2026最新趨勢
AI工程人才缺口大	「AI那麼強，工程師要失業了」	「反而AI工程師全球缺工，台灣尤其嚴重」	「AI不會取代你，但會用AI的人會取代你」	開場	
