流行語	原文/典故	AI旅遊應用場景	可搭配的笑話	教學切入時機
躺平	中國2021年流行語：「躺平即正義」	AI幫你排行程=躺平式旅遊	「我讓AI幫我排行程，我負責躺，它負責卷」	Phase 1 靈感發想
內捲	2021清華學生喊「卷王」	群友用AI排出超詳細行程，別人只好更卷	「以前卷過同學，現在被AI卷到」	Phase 2 深度規劃
覺醒	「價值觀覺醒」	Gemini的Deep Research讓你自己查資料的能力覺醒	「用完Gemini，我Google的能力覺醒了」	Phase 2 Live Demo
摸魚	打工人口頭禪「我在摸魚」	AI幫你做行程，老婆以為你在認真研究	「我不是在摸魚，我是在訓練我的AI分身」	Phase 1 實作
凡爾賽	低調炫富文學	AI生成的浮世繪東京鐵塔：「不是很華麗，就一般般」	「這張AI圖，凡爾賽一下」	Phase 4 生圖
YYDS	「永遠的神」拼音縮寫	形容NotebookLM Audio Overview：「NotebookLM是YYDS」	「這個功能，YYDS！」（要激動語氣）	Phase 4 Podcast
emo	情緒低落的調侃	AI行程有bug讓你emo：「AI你欠我的拿什麼還」	「行程第一天就delay，我emo了一整天」	Phase 2 交通規劃
社恐	社交恐懼	不敢開口問日本人→用AI即時翻譯，社恐變身外語達人	「本來要當啞巴，結果AI替我開口」	Phase 5 即時翻譯
搞錢	「一起搞錢」	Shop.com導購連結：「用旅遊順便搞錢」	「我不叫旅行，我叫移動的商機」	Phase 6 商業變現
破防	心理防線被突破	學員看到AI 30秒出行程：「我準備三天的事，AI 30秒？」	「教練，我破防了，我想學」	Phase 1 Live Demo
種草	「被推薦燒到」	AI推薦的隱藏版秘境，讓你被燒到立刻想訂機票	「看完AI的私房清單，我被種草了」	Phase 1 靈感發想
幹話	「說幹話」	AI太會安撫：「我建議你先去休息一下」（等於沒說）	「AI的安慰，我的幹話」	Phase 1 互動環節
奧客	難搞的客人	用AI當「甲方」測試：你這個行程不滿足我的需求	「AI：我的甲方比真正的甲方還難搞」	Phase 1 實作環節
早知道	後悔表達句式	「早知道有這個工具，我上次就不會……」	「早知道AI可以算JR Pass，我上次就省了3000円」	Phase 2 JR Pass計算
格局	「格局小了」	形容只會用Google Maps的人：「格局小了」	「只會Google Maps？格局， 打開」	Phase 2 交通工具
IG化	什麼都想發IG	AI生圖功能：「專門為你打造的IG素材工廠」	「我的旅遊，終於IG化了」	Phase 4 生圖環節
CP值	性價比	AI行程CP值：「以前請旅行社要5000，AI免費」	「這個工具，CP值爆炸」	Phase 1 開場介紹
業配	業餘推薦變商業推薦	Shop.com導購：「你分享景點連結，就是在幫景點業配」	「我不是在分享，我是在業配」	Phase 6 導購教學
嘴	「我可以嘴你嗎」	AI回答太官腔：「你是不是在嘴我？」	「AI這麼會打太極，你確定你不是業務？」	Phase 1 靈感發想
擺爛	消極放棄	AI行程bug：「它說颱風天最適合出遊，這是擺爛嗎？」	「不是我在擺爛，是AI在擺爛」	Phase 2 行程解說
