笑點標題	內容	適用Phase	使用時機（分鐘）	備註
老闆不給假	「我請 AI 幫我寫請假理由，結果老闆准假了，AI 比我還會做人」	Phase 1	暖場 0-2min	引發共鳴
蜜月被嫌	「我老婆看完 AI 排的蜜月行程，問我：請問這是您的外包作品嗎？」	Phase 1	暖場 2-3min	
AI面試官	「朋友用 AI 投履歷，面試官問：請問您今天是哪位幫您回答的？」	Phase 1	Phase 1 尾聲	😂
行程有bug	「AI 排的行程：第一天飛機delay、第二天景點公休、第三天颱風」	Phase 2	JR Pass 計算前	諷刺AI有時很荒謬
算數學大師	「我問 AI 1+1=2，它回：你確定嗎？要不要再想想？」	Phase 2	交通計算時	諷刺過度谨慎
神秘野獸肉	「我用 AI 翻譯日文菜單，它說：此菜名為「神秘野獸之肉」，我還是不知道點什麼」	Phase 5	翻譯環節前	全場一定笑
脫髮危機	「同學問 AI 怎麼減肥，AI 說：先從少吃第一步開始，他當場破防」	中場休息	休息前緩衝	😂
假內行	「我問 Gemini：日本料理很好吃對吧？它說：這要看個人口味，我不能代替你品嚐」	Phase 1	靈感發想時	諷刺AI很會打太極
翻譯翻車	「我把『我想加薪』翻成日文，變成『我想成為金錢的主人』，老闆直接叫我去HR」	Phase 5	即時翻譯時	😂
IG網紅夢	「朋友說要用 AI 變網紅，結果 AI 幫他生成的照片，他媽媽問：這是通緝照嗎？」	Phase 4	視覺生成前	
懶人爸爸	「我讓 AI 幫我選禮物送老婆，結果它說：最棒的禮物是『分擔家事』，我當場想刪帳號」	Phase 1	角色設定後	
翻車元老	「AI 說：我可以幫你寫論文。現實：它3秒生成，教授3分鐘抓包」	開場	開場破冰	
Google迷路	「問 Google Maps 最短路，它說：建議游泳，全長26公里」	Phase 2	交通規劃前	
Pro級迷路	「升級了 Gemini Pro，問它路，它說：您已進入未知領域，建議返回」	Phase 1	工具介紹	
AI真誠勸告	「我問 AI：我想創業，給我建議？AI 說：建議先存夠錢再創業，感謝咨詢」	Phase 6	商業變現前	😂
