天次	Phase	分鐘區間	笑點標題	笑點內容	哇時刻標題	哇時刻內容	原來如此標題	原來如此內容	學到技能標題	學到技能提示詞
Day 1	Phase 1 暖場	0-3	破冰神器	「我問ChatGPT自我介紹，它說：你是一個獨特且有價值的人。我問老婆這句話怎麼樣，她說：化骨肥宅為凱文」	──	──	──	──	──	──
Day 1	Phase 1 靈感發想	5-8	懶人奇蹟	「我懶到讓AI幫我選伴手禮，結果AI說：最不會錯的選擇是現金。我竟無法反駁」	AI秒級生成	Gemini一句話生成行程，30秒出結果，工作人員實測計時，全場見證	AI會一本正經說胡話	「AI就像很會說故事的業務，聽它講完要自己把關」	行程生成提示詞	「我要去[地點][天數]天，帶[同行者]，興趣是[興趣]，預算[預算]，請排行程，附交通建議」
Day 1	Phase 1 實作	8-20	──	──	──	──	──	──	AI角色扮演	MBTI/旅行風格卡牌+Gemini=找出最適合你的日本城市	MBTI旅行人格	「我是[MBTI]，請推薦3個適合我的日本城市+1個隱藏版秘境」
Day 1	Phase 2 暖場	20-23	算數學大師	「我问AI 1+1=2，它回：你確定嗎？要不要再想想？」	──	──	JR Pass不是每個人都划算	「就像吃到飽餐廳，你只吃一碗飯，當然虧」	──	──
Day 1	Phase 2 Live Demo	23-28	行程有Bug	「AI排的行程：第一天delay、第二天公休、第三天颱風，網友說這是AI的bug還是天意？」	JR Pass計算器	輸入學員行程，AI秒算單程票vs JR Pass，30秒，省多少錢直接秀出來	──	──	JR Pass計算	「請幫我計算從[出發地]到[目的地]交通費用，並比較購買[JR Pass]是否划算」
Day 1	Phase 2 實作	28-45	Google Maps迷路	「問Google Maps最短路，它說：建議游泳，全長26公里」	──	──	AI Agent不等於Chatbot	「Chatbot是櫃台，AI Agent是幫你跑腿的助理」	交通票券決策	學員自己算自己的JR Pass，助教確認每人都完成
Day 1	Phase 3 暖場	48-50	脫髮危機	「同學問AI怎麼減肥，AI說：先從少吃第一步開始，他當場破防」	──	──	NotebookLM是私人百科	「就像你有個助理看完所有資料，只回答你一個人的問題」	──	──
Day 1	Phase 3 Live Demo	50-55	Pro級迷路	「升級Gemini Pro後問路，它說：您已進入未知領域，建議返回」	NotebookLM+Gemini合併	2026年最新功能：同一介面匯入行程PDF，直接問Gemini，兩個工具合而為一	──	──	NotebookLM知識庫建立	匯入行程PDF→問：「帶[同行者]去[地點]要注意什麼？」
Day 1	Phase 3 實作	55-70	──	──	──	──	Google分數不等於好吃	「在日本要看Tabelog，不是Google」	餐廳驗證	「請查詢[餐廳名]在Tabelog的分數，說明3.5分代表什麼」
Day 1	中場休息	70-80	懶人哲學	「我讓AI幫我安排休息，結果它說：躺平是最後的贏家」	──	──	──	──	──	──
Day 1	Phase 4 暖場	80-83	IG網紅夢	「朋友用AI變網紅，結果生成的照片，他媽媽問：這是通緝照嗎？」	──	──	AI生圖是藝術家不是攝影師	「AI生成的圖可能有幻覺，要核實」	──	──
Day 1	Phase 4 Live Demo A	83-88	──	──	AI Podcast導覽	行程→Audio Overview→90秒生成5分鐘雙人Podcast，戴耳機直接聽行程導覽	──	──	Audio Overview	行程匯入→點Audio Overview→選雙人對話
Day 1	Phase 4 Live Demo B	88-93	懶人爸爸2.0	「讓AI幫我選禮物送老婆，結果AI說：最棒的禮物是分擔家事，我想刪帳號」	浮世繪風格生圖	上傳東京鐵塔照片→輸入浮世繪→60秒後出圖，IG讚馬上破百	──	──	Gemini生圖（浮世繪）	「[浮世繪/像素/黏土/油畫]風格，請畫[地點]插畫地圖，包含[元素]
Day 1	Phase 4 實作	93-110	假內行	「我問Gemini：日本料理很好吃對吧？它說：這要看個人口味，我不能代替你品嚐」	──	──	開源不等於免費好用	「就像Linux，過去說一定比Windows差，如今不是了」	小紅書/IG文案	「用小紅書風格寫[地點]旅遊推薦，含：[元素]，附實用資訊」
Day 1	Phase 4 比賽	110-115	評審毒舌	「這張圖，我只能說——連我老婆問我是不是外包給設計師了」	──	──	──	──	──	──
Day 1	Phase 5 暖場	115-118	神秘野獸肉	「我用AI翻譯日文菜單，它說：此菜名為「神秘野獸之肉」，我還是不知道點什麼」	──	──	──	──	──	──
Day 1	Phase 5 Live Demo	118-123	翻譯翻車王	「我把『我想加薪』翻成日文，變成『我想成為金錢的主人』，老闆直接叫我去HR」	即時語音翻譯	說中文，Gemini 2.0 Native Audio即時翻譯成日文語音，120秒實測	──	──	即時翻譯	「請翻譯這份菜單，標註【必點】【過敏原】【注意事項】
Day 1	Phase 5 實作	123-138	AI真誠勸告	「我問AI：我想創業，給我建議？AI說：建議先存夠錢再創業，感謝咨詢」	──	──	AI Agent是24小時免費員工	「你睡覺它在工作，你吃飯它在幫你追蹤機票價格」	比價偵探	「這個商品在Amazon JP賣多少？我在[地點]看到售價[價格]
Day 1	Phase 6 暖場	138-143	AI面試官	「朋友用AI投履歷，面試官問：請問您今天是哪位幫您回答的？」	──	──	──	──	──	──
Day 1	Phase 6 Live Demo	143-148	懶人變現	「我懶到讓AI幫我寫文案，結果它幫我賺了錢，我請它喝珍奶」	Shop.com導購	複製景點連結→一鍵生成含回饋的導購頁，別人掃描購買，你就賺回饋	──	──	Shop.com導購	複製景點/商品連結→貼入Shop.com搜尋→分享推廣連結
Day 1	Phase 6 實作	148-160	──	──	──	──	──	──	緊急求助卡	「我遺失了[護照/錢包]，請用日文寫一段求助信」
Day 1	結尾	160-180	懶人回家了	「今天你帶走什麼？行程Podcast+旅遊美圖+導購連結——發一個月IG，夠了」	──	──	AI工程人才缺口大	「AI不會取代你，但會用AI的人會取代你」	──	──
